Company,Year Founded,Email,Confidence,Source
"Artemis AI",2022,"info@artemis.com",1,"Common patterns"
"Lila Bioscience",2021,"info@lilabioscience.com",1,"Common patterns"
"GreenMeter AI",2021,"info@greenmetrics.ca",1,"Website scraping"
"8. Quantum Algorithms Institute",2020,"info@quantumalgorithms.ca",1,"Common patterns"
"Circles of AI",2019,"info@circlesofai.com",1,"Common patterns"
"4AG Robotics",2019,"info@4agrobotics.com",1,"Common patterns"
"Frontier Collective",2019,"info@frontiercollective.com",1,"Common patterns"
"Get Fresh Ventures",2018,"info@getfreshventures.com",1,"Common patterns"
"Digital Technology Supercluster",2018,"info@digitalsupercluster.ca",1,"Website scraping"
"MetaOptima / MetaOptima (DermEngine)",2018,"info@linkedin.com",1,"Common patterns"
